iter	Passed	Remaining
0	0	79
1	1	72
2	2	69
3	2	64
4	3	64
5	4	63
6	4	62
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	55
15	10	55
16	11	55
17	11	54
18	12	54
19	13	53
20	14	52
21	14	52
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	19	49
28	19	48
29	20	48
30	21	47
31	22	47
32	22	46
33	23	46
34	24	45
35	25	44
36	25	44
37	26	43
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
